Two two.n.01
white egg_white.n.01
egg egg.n.01
laid lay.v.04
despite contempt.n.01
smallest modest.s.02
bird bird.n.02
egg egg.n.01
fact fact.n.01
large large.n.01
relative proportional.s.01
adult adult.n.01
hummingbird hummingbird.n.01
size size.n.04
Incubation incubation.n.01
last survive.v.01
14 fourteen.n.01
23 twenty-three.n.01
day sidereal_day.n.01
depending depend.v.01
specie coinage.n.01
ambient ambient.s.01
temperature temperature.n.01
female female.n.01
attentiveness attentiveness.n.01
nest nest.v.01
mother mother.n.01
feed feed.n.01
nestling nestle.v.03
small modest.s.02
arthropod arthropod.n.01
nectar ambrosia.n.04
inserting insert.v.01
bill beak.n.02
open open.v.04
mouth mouth.n.05
nestling nestle.v.03
regurgitating vomit.v.01
food food.n.01
crop craw.n.01
