A angstrom.n.01
hummingbird hummingbird.n.01
tongue tongue.n.01
flat flat.n.06
split burst.v.01
tip point.n.08
bifurcated bifurcate.v.01
like like.n.01
forked fork.v.04
tongue tongue.n.01
Each each.s.01
bifurcated bifurcate.v.01
flap roll.v.11
edged edge.v.01
fringe periphery.n.01
make make.v.02
tip point.n.08
tongue tongue.n.01
look look.n.03
like like.n.01
feather feather.v.01
At astatine.n.01
rest rest.v.08
flap roll.v.11
rolled roll.v.03
tubular tubular.s.01
shape shape.v.02
stuck lodge.v.02
together together.r.01
hummingbird hummingbird.n.01
feed tip.v.03
pick clean.v.02
fluid fluid.s.02
protracting prolong.v.01
tongue tongue.n.01
spreading spread.v.03
bifurcated bifurcate.v.01
tip point.n.08
open open.v.04
flat flat.n.06
get bring.v.04
covered cover.v.03
fluid fluid.s.02
brought bring.v.04
back binding.n.05
mouth mouth.n.05
