It information_technology.n.01
depends depend.v.01
size size.n.04
bird bird.n.01
largest large.a.01
Giant giant.n.01
Hummingbird hummingbird.n.01
rate rate.n.01
second second.v.02
fastest fast.s.04
recorded read.v.08
rate rate.n.01
80 eighty.n.01
second second.v.02
tiny bantam.s.01
Amethyst amethyst.n.01
slightly slightly.r.01
smaller small.a.01
Bee bee.n.01
Hummingbird hummingbird.n.01
world earth.n.01
smallest small.a.01
bird bird.n.01
may whitethorn.n.01
even even.a.03
faster firm.s.10
rate rate.n.01
Common common.a.02
small small.n.02
North union.n.02
American american.n.03
hummingbird hummingbird.n.01
like like.n.01
average average.v.01
around approximately.r.01
53 fifty-three.s.01
second second.v.02
normal normal.a.03
flight flight.n.05
